Year,County,Issued,Refused,Withdrawn
2022,Carlow,242.0,61,4.0
2022,Cavan,667.0,43,22.0
2022,Clare,332.0,62,11.0
2022,Cork,3047.0,301,125.0
2022,Donegal,430.0,57,20.0
2022,Dublin,21097.0,1574,585.0
2022,Galway,1440.0,128,63.0
2022,Kerry,423.0,44,27.0
2022,Kildare,2234.0,219,191.0
2022,Kilkenny,398.0,44,16.0
2022,Laois,177.0,31,8.0
2022,Leitrim,64.0,8,1.0
2022,Limerick,1525.0,190,105.0
2022,Longford,146.0,9,1.0
2022,Louth,642.0,57,84.0
2022,Mayo,569.0,51,20.0
2022,Meath,1064.0,187,53.0
2022,Monaghan,684.0,12,44.0
2022,Offaly,575.0,22,15.0
2022,Roscommon,236.0,24,8.0
2022,Sligo,281.0,13,5.0
2022,Tipperary,542.0,80,77.0
2022,Waterford,1303.0,45,69.0
2022,Westmeath,571.0,49,28.0
2022,Wexford,859.0,79,108.0
2022,Wicklow,348.0,72,12.0
2022,Others,59.0,14,3.0
