Year,County,Issued,Refused,Withdrawn
2011,Carlow,31,7,1
2011,Cavan,44,6,0
2011,Clare,81,20,4
2011,Cork,417,64,12
2011,Donegal,65,12,6
2011,Dublin,2717,534,108
2011,Galway,206,36,4
2011,Kerry,89,20,2
2011,Kildare,324,51,20
2011,Kilkenny,53,15,2
2011,Laois,31,2,0
2011,Leitrim,3,4,0
2011,Limerick,151,17,6
2011,Longford,24,5,1
2011,Louth,73,15,2
2011,Mayo,42,10,5
2011,Meath,98,25,2
2011,Monaghan,31,12,1
2011,Offaly,14,10,2
2011,Roscommon,33,2,0
2011,Sligo,32,7,1
2011,Tipperary,128,38,4
2011,Waterford,73,16,5
2011,Westmeath,257,26,2
2011,Wexford,47,19,2
2011,Wicklow,105,26,5
2011,Others,31,8,4
