id_county,Year,County,Issued,Refused,Withdrawn
2024Carlow,2024,Carlow,233.0,27,11.0
2024Cavan,2024,Cavan,573.0,27,9.0
2024Clare,2024,Clare,657.0,63,15.0
2024Cork,2024,Cork,3293.0,195,91.0
2024Donegal,2024,Donegal,428.0,27,26.0
2024Dublin,2024,Dublin,19141.0,967,507.0
2024Galway,2024,Galway,1269.0,85,25.0
2024Kerry,2024,Kerry,542.0,29,10.0
2024Kildare,2024,Kildare,2342.0,122,57.0
2024Kilkenny,2024,Kilkenny,433.0,30,16.0
2024Laois,2024,Laois,193.0,14,16.0
2024Leitrim,2024,Leitrim,67.0,8,2.0
2024Limerick,2024,Limerick,1905.0,86,57.0
2024Longford,2024,Longford,147.0,17,5.0
2024Louth,2024,Louth,804.0,33,16.0
2024Mayo,2024,Mayo,504.0,36,11.0
2024Meath,2024,Meath,1511.0,111,40.0
2024Monaghan,2024,Monaghan,541.0,20,9.0
2024Offaly,2024,Offaly,484.0,22,24.0
2024Roscommon,2024,Roscommon,255.0,10,6.0
2024Sligo,2024,Sligo,244.0,31,17.0
2024Tipperary,2024,Tipperary,703.0,45,13.0
2024Waterford,2024,Waterford,1297.0,298,24.0
2024Westmeath,2024,Westmeath,514.0,40,16.0
2024Wexford,2024,Wexford,868.0,75,27.0
2024Wicklow,2024,Wicklow,372.0,25,11.0
2024Others,2024,Others,70.0,13,3.0
