id_country,Year,Country,Issued,Refused,Withdrawn
2017Afghanistan,2017,Afghanistan,6,0,0
2017Albania,2017,Albania,9,2,0
2017Algeria,2017,Algeria,7,0,0
2017Angola,2017,Angola,2,0,0
2017Argentina,2017,Argentina,55,2,2
2017Armenia,2017,Armenia,4,0,0
2017Australia,2017,Australia,106,26,6
2017Azerbaijan,2017,Azerbaijan,7,0,1
2017Bahrain,2017,Bahrain,2,0,0
2017Bangladesh,2017,Bangladesh,24,18,0
2017Belarus,2017,Belarus,22,5,0
2017Benin,2017,Benin,0,2,0
2017Bolivia,2017,Bolivia,5,2,0
2017Bosnia_and_Herzegovina,2017,Bosnia and Herzegovina,3,5,0
2017Botswana,2017,Botswana,3,1,0
2017Brazil,2017,Brazil,675,201,21
2017Cameroon,2017,Cameroon,9,0,0
2017Canada,2017,Canada,187,28,10
2017Chile,2017,Chile,10,2,0
2017China,2017,China,327,142,13
2017Colombia,2017,Colombia,14,1,0
2017Costa_Rica,2017,Costa Rica,9,0,0
2017Cuba,2017,Cuba,6,0,0
2017Côte_d'Ivoire,2017,Côte d'Ivoire,1,0,0
2017DR_Congo,2017,DR Congo,1,0,0
2017Dominican_Republic,2017,Dominican Republic,1,1,0
2017Ecuador,2017,Ecuador,6,1,1
2017Egypt,2017,Egypt,349,26,7
2017El_Salvador,2017,El Salvador,2,1,0
2017Eswatini,2017,Eswatini,0,1,0
2017Ethiopia,2017,Ethiopia,6,1,0
2017Fiji,2017,Fiji,1,0,0
2017Georgia,2017,Georgia,1,2,0
2017Ghana,2017,Ghana,16,2,1
2017Guatemala,2017,Guatemala,1,1,0
2017Honduras,2017,Honduras,1,0,0
2017India,2017,India,3827,307,79
2017Indonesia,2017,Indonesia,10,4,1
2017Iran,2017,Iran,26,10,1
2017Iraq,2017,Iraq,44,3,1
2017Ireland,2017,Ireland,8,2,0
2017Israel,2017,Israel,127,10,3
2017Jamaica,2017,Jamaica,1,0,0
2017Japan,2017,Japan,141,25,5
2017Jordan,2017,Jordan,39,3,1
2017Kazakhstan,2017,Kazakhstan,8,2,0
2017Kenya,2017,Kenya,21,1,0
2017Kuwait,2017,Kuwait,3,0,0
2017Latvia,2017,Latvia,1,0,0
2017Lebanon,2017,Lebanon,31,2,1
2017Lesotho,2017,Lesotho,1,0,0
2017Libya,2017,Libya,21,1,0
2017Malawi,2017,Malawi,2,3,0
2017Malaysia,2017,Malaysia,286,54,13
2017Maldives,2017,Maldives,1,0,0
2017Mauritius,2017,Mauritius,66,16,1
2017Mexico,2017,Mexico,49,16,0
2017Moldova,2017,Moldova,3,1,0
2017Montenegro,2017,Montenegro,4,0,0
2017Morocco,2017,Morocco,19,3,0
2017Myanmar,2017,Myanmar,3,0,0
2017Nepal,2017,Nepal,30,22,1
2017New_Zealand,2017,New Zealand,51,10,2
2017Nicaragua,2017,Nicaragua,1,0,0
2017Nigeria,2017,Nigeria,237,31,8
2017North_Korea,2017,North Korea,1,0,0
2017North_Macedonia,2017,North Macedonia,5,2,0
2017Oman,2017,Oman,2,0,0
2017Pakistan,2017,Pakistan,1008,84,40
2017Panama,2017,Panama,1,0,0
2017Paraguay,2017,Paraguay,0,1,0
2017Peru,2017,Peru,3,0,0
2017Philippines,2017,Philippines,768,64,12
2017Russia,2017,Russia,213,18,4
2017Saint_Kitts_&_Nevis,2017,Saint Kitts & Nevis,2,0,0
2017Saudi_Arabia,2017,Saudi Arabia,12,1,1
2017Senegal,2017,Senegal,2,0,0
2017Serbia,2017,Serbia,26,10,3
2017Seychelles,2017,Seychelles,1,0,0
2017Singapore,2017,Singapore,29,2,2
2017Somalia,2017,Somalia,2,0,0
2017South_Africa,2017,South Africa,329,56,13
2017South_Korea,2017,South Korea,41,13,3
2017Sri_Lanka,2017,Sri Lanka,57,7,3
2017State_of_Palestine,2017,State of Palestine,10,2,0
2017Sudan,2017,Sudan,469,7,25
2017Syria,2017,Syria,25,3,2
2017Tanzania,2017,Tanzania,2,0,0
2017Thailand,2017,Thailand,10,11,0
2017Trinidad_and_Tobago,2017,Trinidad and Tobago,25,2,0
2017Tunisia,2017,Tunisia,7,5,0
2017Turkey,2017,Turkey,217,20,1
2017Turkmenistan,2017,Turkmenistan,1,0,0
2017Uganda,2017,Uganda,4,0,0
2017Ukraine,2017,Ukraine,165,24,2
2017United_Arab_Emirates,2017,United Arab Emirates,1,0,0
2017United_Kingdom,2017,United Kingdom,0,1,0
2017United_States,2017,United States,844,98,25
2017Uruguay,2017,Uruguay,2,1,0
2017Uzbekistan,2017,Uzbekistan,3,0,0
2017Venezuela,2017,Venezuela,48,20,2
2017Vietnam,2017,Vietnam,23,2,0
2017Yemen,2017,Yemen,8,0,0
2017Zambia,2017,Zambia,8,0,0
2017Zimbabwe,2017,Zimbabwe,48,5,2
