Year,Month,Company,Total
2025,Jan,24Hr Care Services Limited,3.0
2025,Jan,2K Games Dublin Limited,1.0
2025,Jan,4D Varghese Limited,1.0
2025,Jan,A To Z Innovative Solutions Ltd.,1.0
2025,Jan,A&M Interior Glazing Limited,4.0
2025,Jan,A. Cliffe Haulage Limited,1.0
2025,Jan,A.R.D. Precision (Irl) Limited,3.0
2025,Jan,A84 Ashbourne Limited,1.0
2025,Jan,Aag Hangar 1 Limited,1.0
2025,Jan,Aarval Limited,5.0
2025,Jan,Abbey Blue Legal Limited (Employer),1.0
2025,Jan,Abbey Haven Care Centre Nursing Home Ltd,2.0
2025,Jan,Abbey Machinery Limited,3.0
2025,Jan,Abbey Physiotherapy Clinic,6.0
2025,Jan,Abbeylands Nursing Home & Alzheimers Unit Ltd,3.0
2025,Jan,Abbeyville Veterinary Services Limited,1.0
2025,Jan,Abbott Ireland,9.0
2025,Jan,Abbott Rapid Dx International Limited,1.0
2025,Jan,Abbvie Limited,1.0
2025,Jan,Abct Restaurant Limited,4.0
2025,Jan,Abdul Qadir,1.0
2025,Jan,Abec Technologies Europe Limited,1.0
2025,Jan,Abir Private Limited,2.0
2025,Jan,Abjb Limited,1.0
2025,Jan,Abs Synergy Limited,1.0
2025,Jan,Accenture Limited,29.0
2025,Jan,Accident Repair Management Services Limited,1.0
2025,Jan,Accountancy & Business College (Ireland) Ltd,1.0
2025,Jan,Accura Construction Limited,1.0
2025,Jan,Ace Autobody Ltd,1.0
2025,Jan,Aclare Nursing Home Ltd,1.0
2025,Jan,Acorn Healthcare Ltd,1.0
2025,Jan,Actavo Group Limited,1.0
2025,Jan,Activision Blizzard Ireland Ltd,3.0
2025,Jan,Admore Structures Limited,8.0
2025,Jan,Ads Contractor Limited,1.0
2025,Jan,Ads Retail Investments Limited,1.0
2025,Jan,Advanced Manufacturing Tech Solutions Ireland Limited,1.0
2025,Jan,Advant Medical,1.0
2025,Jan,Aecom Ireland Limited,1.0
2025,Jan,Aer Lingus Limited,4.0
2025,Jan,Aerogen Limited,1.0
2025,Jan,Affirmo Limited,1.0
2025,Jan,Afry Ireland Ltd,1.0
2025,Jan,Ag National Motors Ltd.,1.0
2025,Jan,Agenbite Limited,1.0
2025,Jan,Agup Restaurants Limited,1.0
2025,Jan,Ahmed Saqqa,1.0
2025,Jan,Aip Capital Limited,1.0
2025,Jan,Airconmech Limited,1.0
2025,Jan,Airside Pizza Limited,1.0
2025,Jan,Ajc Farm Limited,1.0
2025,Jan,Al Khair Restaurant Limited,1.0
2025,Jan,Alan O'Connell Developments Limited,1.0
2025,Jan,Alan Vaughan & Aidan O'Shea,1.0
2025,Jan,Alavina Investments Limited,1.0
2025,Jan,Albany Construction Contractors Limited,1.0
2025,Jan,Alexander Mann Outsourcing Solutions Limited,1.0
2025,Jan,Alken Brothers Wine Merchants Limited,1.0
2025,Jan,All Nations Church Company Limited By Guarantee,1.0
2025,Jan,Allanbay Limited,2.0
2025,Jan,Allen Cranes Limited,2.0
2025,Jan,Alliance Medical Diagnostic Imaging Ltd,2.0
2025,Jan,Allianz Plc,1.0
2025,Jan,Allied Gear Services Ltd,1.0
2025,Jan,"Allied Irish Banks, Public Limited Company",2.0
2025,Jan,Alltec Fibre Limited,2.0
2025,Jan,Alpine Healthcare Limited,1.0
2025,Jan,Alter Domus (Ireland) Ltd,1.0
2025,Jan,Alter Domus Fund Services (Ireland) Limited,1.0
2025,Jan,Amach Software Ltd,1.0
2025,Jan,Amazon Data Services Ireland Limited,17.0
2025,Jan,Amazon Development Centre Ireland Limited,23.0
2025,Jan,Amazon Ireland Support Services Ltd,12.0
2025,Jan,Amazon Web Services Emea Sarl,19.0
2025,Jan,Amber Health Care Limited,6.0
2025,Jan,Amgen Technology (Ireland) Unlimited Company,1.0
2025,Jan,Amo Ireland,1.0
2025,Jan,Analog Devices International Unlimited Company,4.0
2025,Jan,Anastasia Barbers Limited,1.0
2025,Jan,Andhra Bhavan Abbey Street Limited,2.0
2025,Jan,Angelshine Limited,3.0
2025,Jan,Anglo Beef Processors Ireland Unlimited Company,4.0
2025,Jan,Anm Retail Ltd,2.0
2025,Jan,Anneville Dairy Farm Limited,2.0
2025,Jan,Anthony Reddy Associates Architects Limited,1.0
2025,Jan,Anvik Company Ltd,1.0
2025,Jan,Aoshima Food Limited,1.0
2025,Jan,Ap Envecon Limited,2.0
2025,Jan,Aperee Living Bantry Limited,1.0
2025,Jan,Aperee Living Tralee Limited,2.0
2025,Jan,Apex Capital Limited,1.0
2025,Jan,Apleona Hsg Limited,1.0
2025,Jan,Apogee Corporation (Ireland) Limited,1.0
2025,Jan,Apple Distribution International Limited,4.0
2025,Jan,Applied Materials Ireland Limited,13.0
2025,Jan,Applied Process Company Ltd,5.0
2025,Jan,Applus Car Testing Service Limited,1.0
2025,Jan,Applus Inspection Services Ireland Ltd,5.0
2025,Jan,Apridata Limited,1.0
2025,Jan,Aptiv Global Operations Limited,1.0
2025,Jan,Aqua Comms Management Limited,1.0
2025,Jan,Araglen House Nursing Home Limited,3.0
2025,Jan,Arbutus Hotel (Killarney) Limited,1.0
2025,Jan,Arch-I Modular Solutions,1.0
2025,Jan,Arco Fleet Maintenance Limited,1.0
2025,Jan,Ardancare Limited,1.0
2025,Jan,Ariel House Ltd,1.0
2025,Jan,Arm Ireland Limited,1.0
2025,Jan,Artistik Ic Ve Dis Ticaret Limited,1.0
2025,Jan,Aryzta Food Solutions Ireland Unlimited Company,1.0
2025,Jan,Asgard Lodge Nursing Home Ltd.,1.0
2025,Jan,Ashbourne Holdings Ltd,1.0
2025,Jan,Ashbury Nursing Home Ltd,1.0
2025,Jan,Ashley Catering Limited,2.0
2025,Jan,Ashley Lodge Nursing Home Ltd,2.0
2025,Jan,Ashurst Supplies Limited,2.0
2025,Jan,Ashvale Haulage Ltd,1.0
2025,Jan,Aska Sykes Ltd,1.0
2025,Jan,Asml Ireland Limited,1.0
2025,Jan,Aspen Green Ltd,3.0
2025,Jan,Aspiring Wellness Ireland Ltd,1.0
2025,Jan,Astatine Limited,2.0
2025,Jan,Astech Air Conditioning,1.0
2025,Jan,Astron Engineering Limited,1.0
2025,Jan,Atami Food Services Limited,1.0
2025,Jan,Atex And Verification Services Ltd.,1.0
2025,Jan,Athlone Pvc (Supplies) Company Limited,1.0
2025,Jan,Athlone V.E. Limited T/A Vision Express,2.0
