Year,County,Issued,Refused,Withdrawn
2012,Carlow,16,5,7
2012,Cavan,34,14,0
2012,Clare,48,15,1
2012,Cork,358,58,10
2012,Donegal,38,9,0
2012,Dublin,2293,420,149
2012,Galway,213,27,4
2012,Kerry,45,11,4
2012,Kildare,205,31,15
2012,Kilkenny,27,8,3
2012,Laois,23,7,0
2012,Leitrim,5,2,0
2012,Limerick,94,13,1
2012,Longford,18,5,1
2012,Louth,43,16,2
2012,Mayo,33,11,1
2012,Meath,59,33,5
2012,Monaghan,23,10,1
2012,Offaly,17,6,0
2012,Roscommon,18,6,0
2012,Sligo,32,5,0
2012,Tipperary,72,33,7
2012,Waterford,33,13,2
2012,Westmeath,120,22,2
2012,Wexford,47,14,30
2012,Wicklow,72,30,0
2012,Others,21,5,1
