Year,County,Issued,Refused,Withdrawn
2015,Carlow,5,3,0
2015,Cavan,76,2,0
2015,Clare,64,13,2
2015,Cork,617,50,14
2015,Donegal,186,8,1
2015,Dublin,3942,458,99
2015,Galway,298,33,6
2015,Kerry,105,7,3
2015,Kildare,416,39,8
2015,Kilkenny,83,12,1
2015,Laois,47,6,2
2015,Leitrim,5,0,0
2015,Limerick,258,32,7
2015,Longford,9,5,0
2015,Louth,149,14,2
2015,Mayo,102,4,2
2015,Meath,72,28,2
2015,Monaghan,20,8,1
2015,Offaly,46,3,2
2015,Roscommon,30,5,0
2015,Sligo,93,6,1
2015,Tipperary,101,17,3
2015,Waterford,133,12,2
2015,Westmeath,136,8,2
2015,Wexford,97,8,0
2015,Wicklow,44,8,2
2015,Others,119,8,4
